round,legacy_id,id,name,model,gpt,electra,description,merged_f1,merged_accuracy,dyn1_f1,dyn1_accuracy,dyn2_f1,dyn2_accuracy,sst_f1,sst_accuracy,ft_cost,cost_per_f1,tokens,rate,gpt_ft_cost,electra_ft_cost,merged_f1_mean,merged_f1_diff,merged_f1_std,dyn1_f1_mean,dyn_f1_diff,dyn1_f1_std,dyn2_f1_mean,dyn2_f1_diff,dyn2_f1_std,sst_f1_mean,sst_f1_diff,sst_f1_std,merged_accuracy_mean,merged_accuracy_std,dyn1_accuracy_mean,dyn1_accuracy_std,dyn2_accuracy_mean,dyn2_accuracy_std,sst_accuracy_mean,sst_accuracy_std
1,E18-G4OM-ELFT-EX-PR2,E9,"E9: Prompt, Label, Probs, Examples",GPT-4o-mini + ELFT,gpt-4o-mini,ELECTRA Large FT,"Prompt, Label, Probs, Examples",82.91,83.54,86.15,86.06,78.69,79.03,71.49,80.90,$53.26,$0.6424,0,3,$0.00,$53.26,83.19,3.78,0.39,86.58,5.42,0.60,78.99,1.97,0.42,71.94,1.96,0.64,83.79,0.35,86.48,0.59,79.31,0.39,80.86,0.06
1,E4-G4OMFT,E10,E10: Fine-tune w/prompt,GPT-4o-mini,gpt-4o-mini FT,,Fine-tune w/prompt,86.77,87.26,89.86,89.75,86.90,87.08,75.68,83.26,$33.15,$0.3820,"11,049,720",3,$33.15,$0.00,86.70,,0.11,89.65,,0.30,86.99,,0.13,75.83,,0.21,87.18,0.12,89.54,0.30,87.15,0.10,83.33,0.09
1,E29-G4OMFT5,E11,E11: Fine-tune w/prompt (5 epochs),GPT-4o-mini,gpt-4o-mini FT 5,,Fine-tune w/prompt (5 epochs),84.95,85.27,87.83,87.67,85.93,85.97,75.60,81.13,$165.75,$1.9511,"55,248,600",3,$165.75,$0.00,84.86,-1.84,0.13,87.74,-1.92,0.13,86.22,-0.78,0.40,75.38,-0.46,0.32,85.17,0.14,87.57,0.14,86.25,0.40,80.91,0.32
1,E11-G4OMFT-M,E12,E12: Minimal fine-tune,GPT-4o-mini,gpt-4o-mini FT-M,,Minimal fine-tune,86.55,87.00,89.70,89.58,86.97,87.08,75.62,82.76,$16.60,$0.1918,"5,534,849",3,$16.60,$0.00,86.51,-0.19,0.06,89.57,-0.08,0.18,87.13,0.14,0.22,75.74,-0.09,0.17,86.95,0.08,89.45,0.19,87.22,0.20,82.79,0.04
1,E5-G4OMFT-EBFT-P,E13,E13: Fine-tune w/prompt,GPT-4o-mini FT + EBFT,gpt-4o-mini FT,ELECTRA Base FT,Fine-tune w/prompt,81.42,81.90,84.77,84.78,74.49,74.72,70.95,79.55,$42.88,$0.5266,"11,049,720",3,$33.15,$9.73,81.06,-5.64,0.52,84.67,-4.98,0.14,73.06,-13.94,2.03,69.70,-6.13,1.77,81.57,0.47,84.68,0.14,73.33,1.97,79.19,0.52
1,E6-G4OMFT-EBFT-FT,E14,"E14: Fine-tune w/prompt, label",GPT-4o-mini FT + EBFT,gpt-4o-mini FT-L,ELECTRA Base FT,"Fine-tune w/prompt, label",82.02,82.53,85.24,85.11,78.15,78.47,71.68,79.64,$49.31,$0.6012,"13,193,757",3,$39.58,$9.73,81.84,-4.86,0.26,85.20,-4.46,0.06,77.29,-9.70,1.22,70.70,-5.14,1.39,82.39,0.20,85.07,0.06,77.64,1.17,79.57,0.10
1,E25-G4OMFT-EBFT-FT5,E15,"E15: Fine-tune w/prompt, label (5 epochs)",GPT-4o-mini FT + EBFT,gpt-4o-mini FT-L 5,ELECTRA Base FT,"Fine-tune w/prompt, label (5 epochs)",83.88,84.27,86.74,86.61,81.62,81.81,75.00,81.27,$207.64,$2.4754,"65,968,785",3,$197.91,$9.73,83.67,-3.03,0.30,86.38,-3.27,0.51,81.19,-5.81,0.62,75.02,-0.81,0.03,84.08,0.27,86.25,0.51,81.39,0.59,81.43,0.22
1,E28-G4OMFT-ELFT-P,E16,E16: Fine-tune w/prompt,GPT-4o-mini FT + ELFT,gpt-4o-mini FT,ELECTRA Large FT,Fine-tune w/prompt,84.00,84.58,87.65,87.58,80.37,80.69,72.46,80.95,$86.41,$1.0287,"11,049,720",3,$33.15,$53.26,83.94,-2.76,0.09,87.57,-2.08,0.11,80.17,-6.82,0.28,72.46,-3.37,0.00,84.51,0.10,87.50,0.11,80.49,0.29,80.95,0.00
1,E26-G4OMFT-ELFT-FT,E17,"E17: Fine-tune w/prompt, label",GPT-4o-mini FT + ELFT,gpt-4o-mini FT-L,ELECTRA Large FT,"Fine-tune w/prompt, label",84.16,84.70,87.65,87.56,80.89,81.11,73.29,81.22,$92.84,$1.1032,"13,193,757",3,$39.58,$53.26,84.12,-2.58,0.06,87.58,-2.07,0.10,80.75,-6.24,0.20,73.34,-2.50,0.06,84.65,0.08,87.49,0.10,80.97,0.20,81.22,0.00
1,E27-G4OMFT-ELFT-FT5,E18,"E18: Fine-tune w/prompt, label (5 epochs)",GPT-4o-mini FT + ELFT,gpt-4o-mini FT-L 5,ELECTRA Large FT,"Fine-tune w/prompt, label (5 epochs)",84.87,85.25,87.87,87.75,83.80,83.89,75.58,81.63,$251.17,$2.9594,"65,968,785",3,$197.91,$53.26,84.83,-1.87,0.06,87.75,-1.90,0.17,84.37,-2.62,0.81,75.59,-0.25,0.01,85.20,0.07,87.63,0.18,84.45,0.78,81.50,0.19
